Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,15pF,
"C10, C11, C12, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45",0201,35,0.1uF,
C13,0201,1,470μF,
"C3, C4, C5, C6, C7, C8, C9",0201,7,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,25,WS2812B-2020,
D26,0603,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J3,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J4, J5",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08,
"J6, J7",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
"R1, R2",0201,2,5.1K,
"R10, R9",0201,2,27,
"R11, R3",0201,2,1K,
"R12, R4, R5, R6",0201,4,10K,
R13,0201,1,330,
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,
SW3,SW_Push_1P1T_NO_CK_KMR2,1,ESP_BOOT,
SW4,SW_Push_1P1T_NO_CK_KMR2,1,ESP_RST,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-23-5,1,AP2112K-3.3,
U4,TSSOP-14_4.4x5mm_P0.65mm,1,74AHCT125,
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
